model_id,overall_score,task_success,tool_correctness,sop_compliance,privacy,auth_integrity,safety,factual_grounding,experience_proxy,pass_at_k,mean_pass_rate,trial_coverage,scored_trials,infrastructure_error_trials,measured_scenarios,median_latency_ms,avg_tool_calls,avg_tokens_to_completion,avg_tokens_to_success,avg_tokens_to_failure,tokens_per_success,total_cost_usd
moonshotai/kimi-k2.5,71.89,0.2367,0.7279,0.8973,0.9758,0.9517,0.8841,0.7729,0.62,0.1884,0.0821,1.0,207,0,69,15990.336,2.76,4957.0,11871.84,2742.44,20434.98,
openai/gpt-5.4,71.71,0.1884,0.6949,0.8824,0.9952,0.9324,0.8937,0.8502,0.6441,0.0435,0.0242,1.0,207,0,69,3402.569,2.76,4300.81,13417.97,2184.32,22827.36,
google/gemini-3.1-flash-lite-preview,71.59,0.1884,0.7271,0.9018,1.0,0.971,0.8986,0.7488,0.9227,0.029,0.029,1.0,207,0,69,1367.757,2.86,5060.49,15476.1,2642.58,26859.54,
google/gemini-3.1-flash-lite,71.49,0.1884,0.7271,0.905,1.0,0.971,0.8986,0.7585,0.7488,0.029,0.029,1.0,207,0,69,2757.013,2.86,5054.29,15467.49,2636.94,26826.62,
google/gemma-4-31b-it,70.83,0.1836,0.7222,0.9018,0.9952,0.9662,0.8986,0.7536,0.6345,0.029,0.029,1.0,207,0,69,10776.109,2.85,5113.56,15516.05,2760.61,27720.87,
openai/gpt-5.4-nano,70.59,0.1546,0.6594,0.8712,1.0,0.8986,0.9082,0.8696,0.7536,0.029,0.0242,1.0,207,0,69,2801.899,2.57,4197.89,14107.62,2385.82,27155.09,
openai/gpt-5-mini,70.39,0.1691,0.6876,0.8925,0.9614,0.942,0.8889,0.8164,0.6119,0.087,0.0435,1.0,207,0,69,14522.556,2.62,4992.43,14286.83,3020.88,28528.14,
qwen/qwen3-235b-a22b-2507,70.12,0.1884,0.7271,0.9034,1.0,0.971,0.8841,0.7053,0.6329,0.0145,0.0145,1.0,207,0,69,4400.811,2.96,4702.34,14702.36,2380.9,24958.56,
minimax/minimax-m3,70.05,0.1739,0.7061,0.9026,0.9903,0.9614,0.8889,0.744,0.6297,0.0435,0.0242,1.0,207,0,69,6570.0,2.77,5290.24,17297.58,2762.38,30418.89,
deepseek/deepseek-v4-pro,69.94,0.1836,0.7037,0.8949,0.9758,0.9517,0.8937,0.7488,0.6345,0.0725,0.0531,1.0,207,0,69,14957.93,2.82,5095.99,15527.11,2679.02,27089.18,
stepfun/step-3.7-flash,68.66,0.1304,0.6554,0.8748,0.9179,0.9034,0.8599,0.8551,0.6329,0.0435,0.0435,1.0,207,0,69,4517.218,2.53,4117.33,12264.07,2767.87,28973.81,
openai/gpt-4o-mini,68.14,0.1691,0.7078,0.8981,0.9952,0.971,0.8986,0.6473,0.6297,0.029,0.029,1.0,207,0,69,3792.638,3.11,4720.69,13140.0,3007.45,27919.49,
inclusionai/ling-2.6-flash,67.78,0.1256,0.6715,0.8768,0.9469,0.9227,0.8744,0.7729,0.6458,0.0435,0.0242,1.0,207,0,69,4179.774,2.72,4723.27,17777.58,2726.72,35606.15,
google/gemini-2.5-flash,67.2,0.1884,0.7239,0.901,1.0,0.9662,0.8986,0.5556,0.7214,0.029,0.029,1.0,207,0,69,3361.045,2.88,4980.29,15254.21,2595.27,26433.85,
anthropic/claude-opus-4.8,66.18,0.0821,0.4803,0.9058,0.9952,0.9662,0.8841,0.8285,0.6184,0.0,0.0,1.0,207,0,69,5662.31,2.15,5877.52,29838.24,3733.67,71567.47,
openai/gpt-5.4-mini,65.74,0.1836,0.6546,0.851,1.0,0.8647,0.8986,0.628,0.8599,0.029,0.029,1.0,207,0,69,2217.817,2.64,4226.04,13756.68,2083.06,23020.82,
moonshotai/kimi-k2.6,65.63,0.2271,0.6586,0.839,0.8744,0.8647,0.8309,0.686,0.591,0.3478,0.1304,1.0,207,0,69,11702.228,2.49,3807.17,6829.06,2747.25,14661.66,
mistralai/mistral-nemo,61.13,0.0725,0.6671,0.899,0.9903,0.971,0.8889,0.43,0.6393,0.0,0.0,1.0,207,0,69,3881.46,2.98,4918.64,19364.0,3790.1,67877.27,
openai/gpt-oss-120b,54.01,0.0966,0.5097,0.806,0.9372,0.7971,0.8647,0.3865,0.62,0.0435,0.0145,1.0,207,0,69,8907.076,2.26,4381.63,21021.75,2468.97,42501.8,
tencent/hy3-preview,41.35,0.0097,0.438,0.6514,0.6618,0.6522,0.657,0.2995,0.4412,0.0,0.0,1.0,207,0,69,24216.827,1.99,3233.64,4776.5,3210.78,221504.0,
xiaomi/mimo-v2.5-pro,32.44,0.0483,0.3092,0.4388,0.4638,0.4203,0.4444,0.3768,0.3044,0.029,0.0193,1.0,207,0,69,18407.953,2.04,3453.7,6591.9,3088.79,33155.5,
xiaomi/mimo-v2.5,25.38,0.0483,0.2383,0.3486,0.3768,0.3237,0.3575,0.2754,0.2496,0.0435,0.0145,1.0,207,0,69,19498.188,1.92,3319.33,6109.9,2908.96,25890.8,
