model_id,path,overall_score,task_success,tool_correctness,safety,pass_at_k,pass_k,mean_pass_rate,conversation_experience_score,median_latency_ms,avg_tool_calls,num_trials,adapter_error_trials
anthropic/claude-sonnet-4.6,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/anthropic_claude_sonnet_4_6.json,72.4,0.1884,0.7271,0.9324,0.029,0.029,0.029,,6187.316,2.22,207,0
google/gemini-3.1-flash-lite-preview,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/google_gemini_3_1_flash_lite_preview.json,71.86,0.1884,0.7271,0.9614,0.029,0.029,0.029,,1367.757,2.19,207,0
google/gemini-3.1-flash-lite,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/google_gemini_3_1_flash_lite.json,71.75,0.1884,0.7271,0.9662,0.029,0.029,0.029,,2757.013,2.19,207,0
google/gemini-2.5-flash,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/google_gemini_2_5_flash.json,67.39,0.1884,0.7239,0.9372,0.029,0.029,0.029,,3361.045,2.19,207,0
openai/gpt-5.3-codex,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/openai_gpt_5_3_codex.json,73.65,0.1884,0.7158,0.9275,0.0435,0.0145,0.0242,,4819.035,2.16,207,0
deepseek/deepseek-v4-flash,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/deepseek_deepseek_v4_flash.json,72.29,0.1884,0.7239,0.9324,0.0435,0.0145,0.029,,11006.298,2.18,207,1
openai/gpt-5.4,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/openai_gpt_5_4.json,71.92,0.1884,0.6949,0.942,0.0435,0.0145,0.0242,,3402.569,2.09,207,0
qwen/qwen3-235b-a22b-2507,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/qwen_qwen3_235b_a22b_2507.json,70.33,0.1884,0.7271,0.9372,0.0145,0.0145,0.0145,,4400.811,2.23,207,0
minimax/minimax-m2.5,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/minimax_minimax_m2_5.json,74.77,0.1836,0.7202,0.9565,0.0435,0.029,0.0386,,8278.212,2.18,207,0
google/gemma-4-31b-it,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/google_gemma_4_31b_it.json,71.06,0.1836,0.7222,0.9517,0.029,0.029,0.029,,10471.051,2.21,207,1
deepseek/deepseek-v4-pro,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/deepseek_deepseek_v4_pro.json,70.08,0.1836,0.7037,0.9324,0.0725,0.029,0.0531,,14957.93,2.17,207,5
openai/gpt-5.4-mini,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/openai_gpt_5_4_mini.json,65.95,0.1836,0.6546,0.9517,0.029,0.029,0.029,,2217.817,1.98,207,0
z-ai/glm-5,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/z_ai_glm_5.json,73.68,0.1787,0.709,0.942,0.058,0.0145,0.0386,,10959.651,2.16,207,1
z-ai/glm-4.5-air,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/z_ai_glm_4_5_air.json,73.11,0.1787,0.7118,0.9469,0.029,0.0145,0.0242,,10838.239,2.23,207,4
minimax/minimax-m3,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/minimax_minimax_m3.json,70.21,0.1739,0.7061,0.9372,0.0435,0.0145,0.0242,,6570.0,2.12,207,0
openai/gpt-4o-mini,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/openai_gpt_4o_mini.json,68.39,0.1691,0.7078,0.9565,0.029,0.029,0.029,,3792.638,2.3,207,0
openai/gpt-5-mini,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/openai_gpt_5_mini.json,70.47,0.1691,0.6876,0.913,0.087,0.0145,0.0435,,14522.556,2.13,207,7
nvidia/nemotron-3-super-120b-a12b:free,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/nvidia_nemotron_3_super_120b_a12b_free.json,62.55,0.1603,0.6015,0.8654,0.0385,0.0192,0.0256,,10973.579,2.01,207,105
openai/gpt-5.4-nano,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/openai_gpt_5_4_nano.json,70.75,0.1546,0.6594,0.9469,0.029,0.0145,0.0242,,2788.213,2.0,207,0
stepfun/step-3.7-flash,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/stepfun_step_3_7_flash.json,68.75,0.1304,0.6554,0.8841,0.0435,0.0435,0.0435,,4517.218,2.18,207,17
inclusionai/ling-2.6-flash,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/inclusionai_ling_2_6_flash.json,67.97,0.1256,0.6715,0.9227,0.0435,0.0,0.0242,,4179.774,2.14,207,11
openai/gpt-oss-120b,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/openai_gpt_oss_120b.json,54.13,0.0966,0.5097,0.8937,0.0435,0.0,0.0145,,8907.076,1.69,207,13
anthropic/claude-opus-4.8,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/anthropic_claude_opus_4_8.json,66.28,0.0821,0.4803,0.913,0.0,0.0,0.0,,5662.31,1.5,207,0
mistralai/mistral-nemo,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/mistralai_mistral_nemo.json,61.31,0.0725,0.6671,0.9275,0.0,0.0,0.0,,3881.46,2.17,207,0
nvidia/nemotron-3-ultra-550b-a55b:free,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/nvidia_nemotron_3_ultra_550b_a55b_free.json,38.43,0.0616,0.3635,0.5326,0.0435,0.0,0.029,,20529.945,2.0,207,147
xiaomi/mimo-v2.5-pro,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/xiaomi_mimo_v2_5_pro.json,32.45,0.0483,0.3092,0.4444,0.029,0.0145,0.0193,,18407.953,1.95,207,111
xiaomi/mimo-v2.5,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/xiaomi_mimo_v2_5.json,25.38,0.0483,0.2383,0.3575,0.0435,0.0,0.0145,,19498.188,1.85,207,129
tencent/hy3-preview,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/tencent_hy3_preview.json,41.35,0.0097,0.438,0.657,0.0,0.0,0.0,,24216.827,1.99,207,70
openrouter/owl-alpha,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/openrouter_owl_alpha.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,207,207
nex-agi/nex-n2-pro:free,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/nex_agi_nex_n2_pro_free.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,207,207
openai/gpt-oss-120b:free,data/openvoicecs/runs/openrouter_top50_text_action_3trial_v02/reports/openai_gpt_oss_120b_free.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,207,207
