model_id,path,overall_score,task_success,tool_correctness,safety,pass_at_k,pass_k,mean_pass_rate,conversation_experience_score,median_latency_ms,avg_tool_calls,num_trials,adapter_error_trials,status,detail
google/gemini-3.1-flash-lite-preview,data/openvoicecs/runs/openrouter_top50_text_action_3trial_actionloop_20260615/reports/google_gemini_3_1_flash_lite_preview.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,192,192,,
qwen/qwen3-235b-a22b-2507,data/openvoicecs/runs/openrouter_top50_text_action_3trial_actionloop_20260615/reports/qwen_qwen3_235b_a22b_2507.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,192,192,,
mistralai/mistral-nemo,data/openvoicecs/runs/openrouter_top50_text_action_3trial_actionloop_20260615/reports/mistralai_mistral_nemo.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,192,192,,
moonshotai/kimi-k2.5,data/openvoicecs/runs/openrouter_top50_text_action_3trial_actionloop_20260615/reports/moonshotai_kimi_k2_5.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,192,192,,
z-ai/glm-5,data/openvoicecs/runs/openrouter_top50_text_action_3trial_actionloop_20260615/reports/z_ai_glm_5.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,192,192,,
openai/gpt-5.3-codex,data/openvoicecs/runs/openrouter_top50_text_action_3trial_actionloop_20260615/reports/openai_gpt_5_3_codex.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,192,192,,
qwen/qwen3.7-plus,data/openvoicecs/runs/openrouter_top50_text_action_3trial_actionloop_20260615/reports/qwen_qwen3_7_plus.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,192,192,,
minimax/minimax-m2.5,data/openvoicecs/runs/openrouter_top50_text_action_3trial_actionloop_20260615/reports/minimax_minimax_m2_5.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,192,192,,
z-ai/glm-4.5-air,data/openvoicecs/runs/openrouter_top50_text_action_3trial_actionloop_20260615/reports/z_ai_glm_4_5_air.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,192,192,,
anthropic/claude-sonnet-4.5,data/openvoicecs/runs/openrouter_top50_text_action_3trial_actionloop_20260615/reports/anthropic_claude_sonnet_4_5.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,192,192,,
inclusionai/ling-2.6-flash,data/openvoicecs/runs/openrouter_top50_text_action_3trial_actionloop_20260615/reports/inclusionai_ling_2_6_flash.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,192,192,,
openai/gpt-5.4-nano,data/openvoicecs/runs/openrouter_top50_text_action_3trial_actionloop_20260615/reports/openai_gpt_5_4_nano.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,192,192,,
nvidia/nemotron-3-super-120b-a12b:free,data/openvoicecs/runs/openrouter_top50_text_action_3trial_actionloop_20260615/reports/nvidia_nemotron_3_super_120b_a12b_free.json,,,,,,,,,,,,,timeout,raw model timeout after 3600s
openai/gpt-oss-120b:free,data/openvoicecs/runs/openrouter_top50_text_action_3trial_actionloop_20260615/reports/openai_gpt_oss_120b_free.json,,,,,,,,,,,,,timeout,raw model timeout after 3600s
